,reviews,starRating
0,"

  There is no quality , Don't expect that one!Price is too high for this product!

",1.0 out of 5 stars
1,"

  Good shoes

",5.0 out of 5 stars
2,"

  The shoes so much of comfortable I can't even say . I now most people worry about the brand but take my words these are much better than other brands . So I just loved it...

",5.0 out of 5 stars
3,"

  So just go for it sasta tikau and jbardast running shoes low budget me milna muskil h

",5.0 out of 5 stars
4,"

  Only two flaws as of now,1.Difficult to insert the foot into shoe,because opening is too small.Ony the top most two slots  can be opened.Rest of the rings with laces are fixed.so we find it wery difficult to insert the foot into shoe.2.Shoe laces given are flimsy and too short.Don't know how long they last.Company should look into the design  and modify it to make it more comfortable and customer friendly.As to the comfort and durability,I can only say after using for a few days.May be another review if any flaws.

",5.0 out of 5 stars
5,"

  Neck of the shoe poorly designed, difficult to put on.

",3.0 out of 5 stars
6,"

  These shoes are very comfortable and look very good too. However, for my use case of playing badminton, the sole grip has worn out very quickly. Perhaps not the right use case !

",3.0 out of 5 stars
7,"

  Good product.. I like this👌🌹😁

",5.0 out of 5 stars
8,"

  I ordered black color shoes and i received white color shoesProduct is good but the person who packed my shoes is not right because i received wrong  color

",1.0 out of 5 stars
9,"

  Ok

",5.0 out of 5 stars
10,"

  There is no quality , Don't expect that one!Price is too high for this product!

",1.0 out of 5 stars
11,"

  Good shoes

",5.0 out of 5 stars
12,"

  The shoes so much of comfortable I can't even say . I now most people worry about the brand but take my words these are much better than other brands . So I just loved it...

",5.0 out of 5 stars
13,"

  So just go for it sasta tikau and jbardast running shoes low budget me milna muskil h

",5.0 out of 5 stars
14,"

  Only two flaws as of now,1.Difficult to insert the foot into shoe,because opening is too small.Ony the top most two slots  can be opened.Rest of the rings with laces are fixed.so we find it wery difficult to insert the foot into shoe.2.Shoe laces given are flimsy and too short.Don't know how long they last.Company should look into the design  and modify it to make it more comfortable and customer friendly.As to the comfort and durability,I can only say after using for a few days.May be another review if any flaws.

",5.0 out of 5 stars
15,"

  Neck of the shoe poorly designed, difficult to put on.

",3.0 out of 5 stars
16,"

  These shoes are very comfortable and look very good too. However, for my use case of playing badminton, the sole grip has worn out very quickly. Perhaps not the right use case !

",3.0 out of 5 stars
17,"

  Good product.. I like this👌🌹😁

",5.0 out of 5 stars
18,"

  I ordered black color shoes and i received white color shoesProduct is good but the person who packed my shoes is not right because i received wrong  color

",1.0 out of 5 stars
19,"

  Ok

",5.0 out of 5 stars
20,"

  First impressions ok..need to check for performance...light weight of 400gm

",3.0 out of 5 stars
21,"

  Item is so nice , and comfortableI recommend to buy it

",5.0 out of 5 stars
22,"

  Shoe is not comfortable. Getting shoe bites and unable to run in it.  Even walking is difficult as it bites alot.

",3.0 out of 5 stars
23,"

  Not it is just wast of money

",1.0 out of 5 stars
24,"




                    The media could not be loaded.
                




   Nice and comfortable

",4.0 out of 5 stars
25,,5.0 out of 5 stars
26,"

  Average quality

",3.0 out of 5 stars
27,"

  Thik hi h but mujhe pasand nhi aaya

",4.0 out of 5 stars
28,"

  ✌️

",4.0 out of 5 stars
29,"

  Very nice product very good for my morning walk

",5.0 out of 5 stars
30,"

  The soul of the shoe is not sealed . It's coming out.

",4.0 out of 5 stars
31,"

  Awesome product good fit 👌

",5.0 out of 5 stars
32,"




                    The media could not be loaded.
                


",4.0 out of 5 stars
33,"

  nice produced as per value.

",4.0 out of 5 stars
34,"

  Shape is not good..SO dnt buy this product

",1.0 out of 5 stars
35,"

  Never buy

",3.0 out of 5 stars
36,"

  value for money

",5.0 out of 5 stars
37,"

  Yes fit and comfort

",4.0 out of 5 stars
38,"

  Very good product

",5.0 out of 5 stars
39,"

  O bhai itna jorga shoes

",5.0 out of 5 stars
40,"

  The sole damaged within a month

",1.0 out of 5 stars
41,"

  I used this for trekking n walking uphill ..was so comfortable with its cushion and grip...betterone at this price range .. just go for it.. worth your money .

",5.0 out of 5 stars
42,"

  Nice

",4.0 out of 5 stars
43,"

  Product is very good but uncomfortable. While you are buying this shoe you think twice.I'm not recommend anyone for buying this.

",4.0 out of 5 stars
