,reviews,starRating
0,"

  Quality of product is not worthableIts not a original killer jeans. Duplicate product

",1.0 out of 5 stars
1,"

  किलर का टैग और साधारण से अच्छा है । कुल मिला कर उत्पाद अच्छा है । आप भी खरीद सकते हैं ।

",5.0 out of 5 stars
2,"

  Yes

",5.0 out of 5 stars
3,"

  Looks like first copy of killer  jeans.Worst quality.

",1.0 out of 5 stars
4,"

  Quality of product is not worthableIts not a original killer jeans. Duplicate product

",1.0 out of 5 stars
5,"

  किलर का टैग और साधारण से अच्छा है । कुल मिला कर उत्पाद अच्छा है । आप भी खरीद सकते हैं ।

",5.0 out of 5 stars
6,"

  Yes

",5.0 out of 5 stars
7,"

  Looks like first copy of killer  jeans.Worst quality.

",1.0 out of 5 stars
8,"

  Something other in photoSomething other in packet

",1.0 out of 5 stars
9,"

  Looses colour a lot,  take care of washing with other clothes.

",2.0 out of 5 stars
10,"

  Perfect fit, very comfortable. Though stuf is little bit thin than regular denim.Overall its a good buy.

",5.0 out of 5 stars
11,"

  Like-1. Unlike many comments, colour did not fade away.2. Good quality material.Dislike-1. Little tight on thighs.Final view-A good buy for regular use with affordable price.

",4.0 out of 5 stars
12,"

  This product is not relaxed jeans which is not suitable to me. It is not comfortable at thighs. I don't like shaded Jeans. I perchased blue and light blue jeans last month which is very comfortable to me without shades. So I ordered this one.

",2.0 out of 5 stars
13,"

  Any good jeans today cost no less than 800 and this is definitely priced low for the quality sold. Good fabric, stretch and fits neat. Must buy for the price. The product images show it to be skin tight but it is comfortable as stated in the product specs.

",5.0 out of 5 stars
14,"

  I ordered 36 size of Ben Martin regular jeansBut in your item there is 2 level of size in your item one is real and second one is fakeReal size is 32 and fake is 36 that is I oraderdIn actually this is 32 size .But I oraderd 36..And you give fake 36 size of level

",1.0 out of 5 stars
15,"

  Not a best buy, should be made elastic. Design is good but what good will you get if u can't wear it comfortably

",1.0 out of 5 stars
16,"

  The jean is of superb quality. Totally value for money. But this appears to be a 'Slim Fit'. So if you are planning to buy, buy a size larger than usual.

",4.0 out of 5 stars
17,"

  quality is not good and chain and button is not work properly and it is seem that it is already used..please be careful about those matter and I want to attract the attention of Amazon authorities in this matter

",1.0 out of 5 stars
18,"

  Something other in photoSomething other in packet

",1.0 out of 5 stars
19,"

  Looses colour a lot,  take care of washing with other clothes.

",2.0 out of 5 stars
20,"

  Perfect fit, very comfortable. Though stuf is little bit thin than regular denim.Overall its a good buy.

",5.0 out of 5 stars
21,"

  Like-1. Unlike many comments, colour did not fade away.2. Good quality material.Dislike-1. Little tight on thighs.Final view-A good buy for regular use with affordable price.

",4.0 out of 5 stars
22,"

  This product is not relaxed jeans which is not suitable to me. It is not comfortable at thighs. I don't like shaded Jeans. I perchased blue and light blue jeans last month which is very comfortable to me without shades. So I ordered this one.

",2.0 out of 5 stars
23,"

  Any good jeans today cost no less than 800 and this is definitely priced low for the quality sold. Good fabric, stretch and fits neat. Must buy for the price. The product images show it to be skin tight but it is comfortable as stated in the product specs.

",5.0 out of 5 stars
24,"

  I ordered 36 size of Ben Martin regular jeansBut in your item there is 2 level of size in your item one is real and second one is fakeReal size is 32 and fake is 36 that is I oraderdIn actually this is 32 size .But I oraderd 36..And you give fake 36 size of level

",1.0 out of 5 stars
25,"

  Not a best buy, should be made elastic. Design is good but what good will you get if u can't wear it comfortably

",1.0 out of 5 stars
26,"

  The jean is of superb quality. Totally value for money. But this appears to be a 'Slim Fit'. So if you are planning to buy, buy a size larger than usual.

",4.0 out of 5 stars
27,"

  quality is not good and chain and button is not work properly and it is seem that it is already used..please be careful about those matter and I want to attract the attention of Amazon authorities in this matter

",1.0 out of 5 stars
28,"

  Unfortunately the Jean's was a good pair but it's thickness or fit was too tight for me.Being a person of 90's, I do not subscribe to a tight fit when ordering regular size.The waist  size fits perfectly as per order.

",4.0 out of 5 stars
29,"

  Very poor quality fabrics, lot of difference in images on app and product.

",1.0 out of 5 stars
30,"

  Same as picture and it's very comfortable

",5.0 out of 5 stars
31,"

  the Fabric used is very rough. it is not soft at all,

",2.0 out of 5 stars
32,"

  I order almost 7 days back this jins 32 size for my younger brother..Then I received very nice suprb fabric nd gud quality jins bt now I order for me 34 size nd today I received with poor quality fabric jins

",2.0 out of 5 stars
33,"

  Perfect, more than expected, what I did is just altered it to get the shape, so very comfortable, worth the money, thanks Amazon for such nice products.

",5.0 out of 5 stars
34,"

  It's tight near thighs for 34""waist.

",3.0 out of 5 stars
35,"

  Quality is great, thickness as expected and comfortable as expected.

",5.0 out of 5 stars
36,"

  Good product

",5.0 out of 5 stars
37,"

  Very good

",5.0 out of 5 stars
38,"

  It's Good

",4.0 out of 5 stars
39,"

  Already I have this pant and colour, fitting and materials are good so i have purchased again now

",5.0 out of 5 stars
40,"

  I like this product

",5.0 out of 5 stars
41,"

  Nice fit. Worth buying

",5.0 out of 5 stars
42,"

  The pant cloth was of poor quality. Started getting damaged and torn at 2-3 places after 1-2 uses. Has to put it aside. It seems this was 2nd had reused pant. Poor quality...

",1.0 out of 5 stars
43,"

  Just one word... Please don't buy it

",1.0 out of 5 stars
44,"

  Loved how the jeans looked on my father. Totally satisfied. Best at this price.

",5.0 out of 5 stars
45,"

  Not comfortable as such as regular jeans

",3.0 out of 5 stars
46,"

  Trading not good some place not doing properly

",3.0 out of 5 stars
47,"

  The product was different from that given in picture. The picture shows nice attractive blue colour finish but actual product is like any old model. The colour was not impressive.

",3.0 out of 5 stars
48,"

  The size is perfect, although the material is bit rough. but at this price its ok.

",4.0 out of 5 stars
49,"

  Nice and soft feel. Comfort fit for daily use...

",5.0 out of 5 stars
50,"

  Little tight at the thighs

",5.0 out of 5 stars
51,"

  Do not buy, it looks great in the image but it isn't. I returned it. It's larger and feels like a duplicate product.

",1.0 out of 5 stars
52,"

  ordered size 36 and Amazon written 32 sizeBut product is ok

",5.0 out of 5 stars
53,"

  It's good and confortable

",4.0 out of 5 stars
54,"

  Good quality beyond my expectation. I liked it very much it is exact size colour same what we see in d pic. Thanq.

",5.0 out of 5 stars
55,"

  Very very good jeans

",5.0 out of 5 stars
56,"

  Good

",3.0 out of 5 stars
57,"

  Fair

",4.0 out of 5 stars
58,"

  Bought it from sale,  but it's quality is not good. Just like it's offered discounted price it is very low.

",3.0 out of 5 stars
59,"

  Quality product

",5.0 out of 5 stars
60,"

  Cheap Quality

",2.0 out of 5 stars
61,"

  I like this product. If the color of the item remains as it is then in all respect fine.

",4.0 out of 5 stars
62,"

  Nice jeans

",4.0 out of 5 stars
63,"

  Good

",5.0 out of 5 stars
64,"

  Colour gone

",1.0 out of 5 stars
65,"

  This product is really very comfortable. Colour is s also nyc. Worth of money. U must buy this.

",5.0 out of 5 stars
66,"

  Cloth material is ok not as mentioned in description

",2.0 out of 5 stars
67,"

  Like

",3.0 out of 5 stars
68,"

  Must say it matched expectations in every aspect from fitting to comfort

",5.0 out of 5 stars
69,"

  This is good product not very good but in this price range this is good . All the best product

",4.0 out of 5 stars
70,"

  Realy nice jeans I really I liked it can definitely go with.

",4.0 out of 5 stars
71,"

  Perfect fit

",5.0 out of 5 stars
72,"

  Jeans fabrics are not good cotton fabrics are slightly used in a summer session not fell comfortable

",2.0 out of 5 stars
73,"

  Quality is ok but it is narrow fit not relaxed fit and slim-fit...

",1.0 out of 5 stars
74,"

  Must buy product. Cheap but best in jeans range

",5.0 out of 5 stars
75,"

  Okk okk product

",3.0 out of 5 stars
76,"

  I like this jeans. Quantity is very decent.

",5.0 out of 5 stars
77,"

  Good quality and resnable prize and soft and good product

",5.0 out of 5 stars
78,"

  Excellent quality and fitting. A bit small compared to other Benmartin jeans designs

",5.0 out of 5 stars
79,"

  Nice jeans one should definitely go for it.

",5.0 out of 5 stars
80,"

  Very good

",5.0 out of 5 stars
81,"

  Quality is pretty good for the price

",5.0 out of 5 stars
82,"

  Try brand products

",2.0 out of 5 stars
83,"

  Item are as it shown in catelog and  fabric quality and colour was not good.

",2.0 out of 5 stars
84,"

  I dislike this item send by amazon.weste of money.

",1.0 out of 5 stars
85,"

  Good jeans I love it

",5.0 out of 5 stars
