,reviews,starRating
0,"

  Mindblowing product,, so soft awesome,, i love it.. guys i suggest you to buy this product.. thanks

",5.0 out of 5 stars
1,"

  I love this product,quality was really good, product received  exactly as shown in the image, i would like to thank merchant for selling a unique & high quality products & also recommend everyone to purchase from EYEBOGLER shop. Also thanks for the amazon for fastest service.

",5.0 out of 5 stars
2,"

  SuperbbbbNice product

",5.0 out of 5 stars
3,"

  Material is very soft and comfortable...this fits perfectly according to size...can be worn as simple tshrt or team up with blazer for a more casual cum party look..all in all this tshrt is very awesome..he loved it

",5.0 out of 5 stars
4,"

  The style and fabric of the t shirt is ok. However, even extra large size didn’t fit my father l, he wears 40 no. shirt. The t shirt even shrunk a bit after first wash.

",2.0 out of 5 stars
5,"

  Product quality is not as per the price. Seems very fragile material or single wash material.Finishing of tshirt is not done and there are threads.In this price a person can get 2 tshirt with better quality.Don't buy it.

",1.0 out of 5 stars
6,"

  Guys listen. im very satisfied about this product.. Very good product and fitting is also what is expect, i assure u can purchase this product 100% i happy..Yo hoooooo

",5.0 out of 5 stars
7,"

  The image shows it has a pocket, but it is not a pocket, extremely disappointed with the mischief

",1.0 out of 5 stars
8,"

  It was much less than standard xxl. In exchange you redespatched xL while ordered XXL itself was tight enough. Treat order cancelled & process immediate refund. Or you may exchange with shoulder 20 & waist 46+

",3.0 out of 5 stars
9,"

  Cloth got faded just with one wash.. So, disappointed. Now I cannot return since the tag is removed and washed. Very bad

",1.0 out of 5 stars
10,"

  Mindblowing product,, so soft awesome,, i love it.. guys i suggest you to buy this product.. thanks

",5.0 out of 5 stars
11,"

  I love this product,quality was really good, product received  exactly as shown in the image, i would like to thank merchant for selling a unique & high quality products & also recommend everyone to purchase from EYEBOGLER shop. Also thanks for the amazon for fastest service.

",5.0 out of 5 stars
12,"

  SuperbbbbNice product

",5.0 out of 5 stars
13,"

  Material is very soft and comfortable...this fits perfectly according to size...can be worn as simple tshrt or team up with blazer for a more casual cum party look..all in all this tshrt is very awesome..he loved it

",5.0 out of 5 stars
14,"

  The style and fabric of the t shirt is ok. However, even extra large size didn’t fit my father l, he wears 40 no. shirt. The t shirt even shrunk a bit after first wash.

",2.0 out of 5 stars
15,"

  Product quality is not as per the price. Seems very fragile material or single wash material.Finishing of tshirt is not done and there are threads.In this price a person can get 2 tshirt with better quality.Don't buy it.

",1.0 out of 5 stars
16,"

  Guys listen. im very satisfied about this product.. Very good product and fitting is also what is expect, i assure u can purchase this product 100% i happy..Yo hoooooo

",5.0 out of 5 stars
17,"

  The image shows it has a pocket, but it is not a pocket, extremely disappointed with the mischief

",1.0 out of 5 stars
18,"

  It was much less than standard xxl. In exchange you redespatched xL while ordered XXL itself was tight enough. Treat order cancelled & process immediate refund. Or you may exchange with shoulder 20 & waist 46+

",3.0 out of 5 stars
19,"

  Cloth got faded just with one wash.. So, disappointed. Now I cannot return since the tag is removed and washed. Very bad

",1.0 out of 5 stars
20,"

  Material ok.

",5.0 out of 5 stars
21,"

  THE DESIGN OF THE TSHIRT IS GOOD AND ATTRACTIVE. TALKING ABOUT THE COMFORT PART, ITS MUCH OF A  SLIM FIT TYPE, SO THAT COULD BE LESS COMFORTABLE FOR SOME  AND ALSO THE LENGTH OF THE TSHIRT IS TOO SHORT.THE GOOD PART OF IT IS MUCH STRETCHABLE AND THE QUALITY OF THE FABRIC IS SOFT AND DECENT.

",3.0 out of 5 stars
22,"

  The shirt is of high quality. Fits perfectly to my Pappa. Thank you so much...

",5.0 out of 5 stars
23,"

  Frustrated with sizing!

",2.0 out of 5 stars
24,"

  Material is bit not as expected but the fit and look were awesome

",5.0 out of 5 stars
25,"

  Product quality is not good, poor quality, this item worth only for 200 rupees only, simply waste ☹️

",1.0 out of 5 stars
26,"

  Quite Good! But not impressed.

",3.0 out of 5 stars
27,"

  Very nice product t-shirt very soft product is very good thanks 👌

",5.0 out of 5 stars
28,"

  Seems to be of good quality, however I ordered 10 med and 10 large and none of them fit me properly, there is a massive difference the large and medium I need something in between these two!

",5.0 out of 5 stars
29,"

  Very nice quality Tshirt. Nice design. Good and cloth. Nice fitting. Go for it

",5.0 out of 5 stars
30,"

  This is a value for money product and also the wear is very comfortable.

",5.0 out of 5 stars
31,"

  The quality is very attractive and looks premium worth the money 😍😍😍😍

",5.0 out of 5 stars
32,"

  Good value for money

",4.0 out of 5 stars
33,"

  All the way good

",5.0 out of 5 stars
34,"

  Recommended

",5.0 out of 5 stars
35,"

  Everything is good.

",5.0 out of 5 stars
36,"

  Very good

",5.0 out of 5 stars
37,"

  Colour , fit always super

",5.0 out of 5 stars
38,"

  Faster delivery than given time, quality is good as I expected and For winters its good packaging is good and deliver faster than expected.

",5.0 out of 5 stars
39,"

  ComfortValue for moneyWarmth is not that much but ok ok.Fit is perfectTrue to size.👍👍👍

",5.0 out of 5 stars
40,"

  Comfortable feel though a little tight for its size.

",4.0 out of 5 stars
41,"

  excellent and fantastic are the only two words to describe everything

",5.0 out of 5 stars
42,"

  Good product... Value for money.... It is comfortable.... Overall it is best... Go for it..

",4.0 out of 5 stars
43,"

  Great feel

",5.0 out of 5 stars
44,"

  Nothing short of excellent

",5.0 out of 5 stars
45,"

  nice product

",5.0 out of 5 stars
46,"

  Amazing T shirt. Colour and cloth quality everything very good... I select L size

",5.0 out of 5 stars
47,"

  I like product

",5.0 out of 5 stars
48,"

  This is an awesome shirt that fitted me perfectly. Even the smoothness of the shirt is best.

",5.0 out of 5 stars
49,"

  The cloth is very thin.

",4.0 out of 5 stars
