,reviews,starRating
0,"

  It's an used pant such a shameful behavior....Saaf saaf najar aaraha hai pant ko dubara colour kiya gaya hai... And the biggest mistake after committing mistake the forgot to change it...Is se achhey toh market may sale waali 300-400 wali pant hoti hai atleast they are not used. Main thing is not about the money. It's all about the trust towards your consumers

",1.0 out of 5 stars
1,"

  Bought it for my husband, I received the item in good condition. The colours are same as shown. Material is lightweight & stretchable. It seems durable. it did not shrink or discharge colour after wash. It's very convinient in routine life because of light weight.

",5.0 out of 5 stars
2,"

  Good quality fabric. Fitting is as expected and comfortable.  Price is also reasonable. I liked this product. Overall it is good to buy. Thank you amazon.

",5.0 out of 5 stars
3,"

  Received as expected color and size. Fabric is good. After washing color doesn't fade.blue color solid jeans along with stylish and affordable price. Delivered at time

",5.0 out of 5 stars
4,"




                    The media could not be loaded.
                




   Fittings of this jeans is just outstanding. Cloth quality is quite good. I can assure people those still thinking or quite confused about this deal, you can't get better option in this much price. Go for it... It's 100% paisa vasool deal.

",4.0 out of 5 stars
5,"

  This ben martin Jean's is very good, i bought dark blue colour and it is perfect for me ,its cloth quality is superb, stretchable and colour doesn't fade after wash ,size and fitting is same as my size  ,best jeans in this price range, it delivered before expected date and packaging was also good

",5.0 out of 5 stars
6,"

  The quality of jeans is pretty good, it is better to order the next size of your actual size other than this  no complaints at all. Good fitting too. Length is perfect. Colour is same as shown in the pic. Overall a best buy.

",5.0 out of 5 stars
7,"

  Jeans was good and things that I like about this jeans is fit, color and quality. Quality is good also the color is quite accurate to image. As this is slim fit so fits really good. Overall good quality.

",5.0 out of 5 stars
8,"

  Excellent

",5.0 out of 5 stars
9,"

  Very happy and satisfied with my purchase.Cloth quality is goodVery comfortable in wearing.

",5.0 out of 5 stars
10,"

  Worst Experience - Kindly Amazon should take a look into this.I ordered new clothes for fetival and one day before I received which I cross verified with the  product and it is of different size .I missed the new clothes for festival because of this since I have to return and get the product for the correct fit.This happened to me twice

",1.0 out of 5 stars
11,"

  The product is rough. It has no perfect finish. If you are looking for some cheap jeans, you may buy it if the price fits your pocket. Mind you, the fabric would make it clear that you are wearing a cheap product.

",2.0 out of 5 stars
12,"

  This is purely a steal deal, slim fit jeans has a really smart fit. And at this price, it is pretty awesome. The colour is jet black rather than fading black stuff. And quality is pretty much accurate and not low quality. Loved this jeans from Ben martin.

",5.0 out of 5 stars
13,"

  I am useing 1 moth Fit perfect , stitching  bad, Dalivery good time, air circulation bat over hot ( heet) 😰

",3.0 out of 5 stars
14,"

  Good product but size 38too large..and too baggi on thighs

",4.0 out of 5 stars
15,"

  This jeans is very comfortable and fit is perfect.  In this price I think this jeans is value for money.

",5.0 out of 5 stars
16,"

  I am satisfied with this Ben Martin's slim fit jeans and feel to buy sure with more comfortable jeans on this company.It had valued me and being flexibility great. You will not feel too tight or lose its quite good stretchable.

",5.0 out of 5 stars
17,"

  Fabric quality is fine but lit bit size is not perfect.seller not get properly packed the item.Overall rating 3. Not good and Not Bad.

",3.0 out of 5 stars
18,"

  Overall good product at this price and if I talk about length then that’s where a star gets deducted. A jeans should have some extra length. This was just till ankle.

",4.0 out of 5 stars
19,"

  Product colouring is ok but quality is not up to the mark.only if you wanna wear  it for local things ok

",2.0 out of 5 stars
